SetPoint;Chamber;Ref;DUT
17.01.2021 18:44:34;0;-0,001;0,399999999999977;0,6875
17.01.2021 18:44:38;0;-0,001;0,399999999999977;0,6875
17.01.2021 18:44:42;0;-0,001;0,389999999999986;0,6875
17.01.2021 18:44:45;0;-0,001;0,379999999999995;0,625
17.01.2021 18:44:49;0;-0,001;0,360000000000014;0,625
17.01.2021 18:44:53;0;-0,001;0,350000000000023;0,625
17.01.2021 18:44:57;0;-0,001;0,350000000000023;0,625
17.01.2021 18:45:01;0;-0,001;0,339999999999975;0,625
17.01.2021 18:45:05;0;-0,001;0,329999999999984;0,625
17.01.2021 18:45:09;0;-0,001;0,319999999999993;0,5625
17.01.2021 18:45:12;0;-0,001;0,319999999999993;0,5625
17.01.2021 18:45:16;0;-0,001;0,300000000000011;0,5625
17.01.2021 18:45:20;0;-0,001;0,29000000000002;0,5625
17.01.2021 18:45:24;0;-0,001;0,29000000000002;0,5625
17.01.2021 18:45:28;0;-0,001;0,279999999999973;0,5
17.01.2021 18:45:32;0;-0,001;0,269999999999982;0,5
17.01.2021 18:45:35;0;-0,001;0,269999999999982;0,5
17.01.2021 18:45:39;0;-0,001;0,259999999999991;0,5
17.01.2021 18:45:43;0;-0,001;0,25;0,5
17.01.2021 18:45:47;0;-0,001;0,25;0,5
17.01.2021 18:45:51;0;-0,001;0,240000000000009;0,4375
17.01.2021 18:45:55;0;-0,001;0,240000000000009;0,4375
17.01.2021 18:45:58;0;-0,001;0,230000000000018;0,4375
17.01.2021 18:46:02;0;-0,001;0,220000000000027;0,4375
17.01.2021 18:46:06;0;-0,001;0,220000000000027;0,4375
17.01.2021 18:46:10;0;-0,001;0,20999999999998;0,4375
17.01.2021 18:46:14;0;-0,001;0,20999999999998;0,4375
17.01.2021 18:46:18;0;0;0,199999999999989;0,375
17.01.2021 18:46:22;0;-0,001;0,199999999999989;0,4375
17.01.2021 18:46:25;0;0;0,189999999999998;0,375
17.01.2021 18:46:29;0;0;0,189999999999998;0,375
17.01.2021 18:46:33;0;-0,001;0,180000000000007;0,375
17.01.2021 18:46:37;0;-0,001;0,180000000000007;0,375
17.01.2021 18:46:41;0;-0,001;0,170000000000016;0,375
17.01.2021 18:46:45;0;-0,001;0,170000000000016;0,375
17.01.2021 18:46:49;0;0;0,160000000000025;0,375
17.01.2021 18:46:52;0;0;0,160000000000025;0,3125
17.01.2021 18:46:56;0;0;0,160000000000025;0,3125
17.01.2021 18:47:00;0;-0,001;0,149999999999977;0,3125
17.01.2021 18:47:04;0;-0,001;0,149999999999977;0,3125
17.01.2021 18:47:08;0;-0,001;0,139999999999986;0,3125
17.01.2021 18:47:12;0;0;0,139999999999986;0,3125
17.01.2021 18:47:16;0;0;0,129999999999995;0,3125
17.01.2021 18:47:19;0;-0,001;0,129999999999995;0,3125
17.01.2021 18:47:23;0;-0,001;0,129999999999995;0,25
17.01.2021 18:47:27;0;0;0,120000000000005;0,25
17.01.2021 18:47:31;0;0;0,120000000000005;0,25
17.01.2021 18:47:35;0;-0,001;0,120000000000005;0,25
17.01.2021 18:47:39;0;-0,001;0,120000000000005;0,25
17.01.2021 18:47:43;0;0;0,120000000000005;0,25
17.01.2021 18:47:46;0;0;0,110000000000014;0,25
17.01.2021 18:47:50;0;0;0,110000000000014;0,25
17.01.2021 18:47:54;0;0;0,110000000000014;0,25
17.01.2021 18:47:58;0;0;0,100000000000023;0,25
17.01.2021 18:48:02;0;-0,001;0,100000000000023;0,1875
17.01.2021 18:48:06;0;-0,001;0,100000000000023;0,25
17.01.2021 18:48:09;0;0;0,089999999999975;0,1875
17.01.2021 18:48:13;0;0;0,089999999999975;0,1875
17.01.2021 18:48:17;0;-0,001;0,089999999999975;0,1875
17.01.2021 18:48:21;0;0;0,089999999999975;0,1875
17.01.2021 18:48:25;0;0;0,0799999999999841;0,1875
17.01.2021 18:48:29;0;-0,001;0,0799999999999841;0,1875
17.01.2021 18:48:33;0;0;0,0699999999999932;0,1875
17.01.2021 18:48:36;0;0;0,0699999999999932;0,1875
17.01.2021 18:48:40;0;0;0,0699999999999932;0,1875
17.01.2021 18:48:44;0;0;0,0699999999999932;0,1875
17.01.2021 18:48:48;0;-0,001;0,0699999999999932;0,1875
17.01.2021 18:48:52;0;0;0,0600000000000023;0,1875
17.01.2021 18:48:56;0;0;0,0600000000000023;0,1875
17.01.2021 18:48:59;0;-0,001;0,0600000000000023;0,125
17.01.2021 18:49:03;0;0;0,0600000000000023;0,125
17.01.2021 18:49:07;0;-0,001;0,0500000000000114;0,125
17.01.2021 18:49:11;0;0;0,0500000000000114;0,125
17.01.2021 18:49:15;0;0;0,0500000000000114;0,125
17.01.2021 18:49:19;0;-0,001;0,0500000000000114;0,125
17.01.2021 18:49:23;0;0;0,0400000000000205;0,125
17.01.2021 18:49:27;0;-0,001;0,0400000000000205;0,125
17.01.2021 18:49:30;0;0;0,0400000000000205;0,125
17.01.2021 18:49:34;0;-0,001;0,0400000000000205;0,125
17.01.2021 18:49:38;0;0;0,0400000000000205;0,125
17.01.2021 18:49:42;0;-0,001;0,0299999999999727;0,125
17.01.2021 18:49:46;0;0;0,0299999999999727;0,125
17.01.2021 18:49:50;0;-0,001;0,0299999999999727;0,125
17.01.2021 18:49:54;0;0;0,0299999999999727;0,125
17.01.2021 18:49:57;0;-0,001;0,0199999999999818;0,125
17.01.2021 18:50:01;0;0;0,0199999999999818;0,125
17.01.2021 18:50:05;0;-0,001;0,0199999999999818;0,125
17.01.2021 18:50:09;0;0;0,0199999999999818;0,0625
17.01.2021 18:50:13;0;-0,001;0,0199999999999818;0,0625
17.01.2021 18:50:17;0;0;0,0199999999999818;0,0625
17.01.2021 18:50:20;0;-0,001;0,00999999999999091;0,0625
17.01.2021 18:50:24;0;0;0,00999999999999091;0,0625
17.01.2021 18:50:28;0;-0,001;0,00999999999999091;0,0625
17.01.2021 18:50:32;0;0;0,00999999999999091;0,0625
17.01.2021 18:50:36;0;-0,001;0,00999999999999091;0,0625
17.01.2021 18:50:40;0;-0,001;0;0,0625
17.01.2021 18:50:44;0;0;0;0,0625
17.01.2021 18:50:48;0;-0,001;0;0,0625
17.01.2021 18:50:51;0;0;0;0,0625
17.01.2021 18:50:55;0;-0,001;0;0,0625
17.01.2021 18:50:59;0;0;0;0,0625
17.01.2021 18:51:03;0;0;0;0,0625
17.01.2021 18:51:07;0;0;-0,00999999999999091;0,0625
17.01.2021 18:51:11;0;0;-0,00999999999999091;0,0625
17.01.2021 18:51:15;0;-0,001;-0,00999999999999091;0,0625
17.01.2021 18:51:19;0;0;-0,00999999999999091;0,0625
17.01.2021 18:51:22;0;-0,001;-0,00999999999999091;0,0625
17.01.2021 18:51:26;0;-0,001;-0,00999999999999091;0,0625
17.01.2021 18:51:30;0;0;-0,00999999999999091;0,0625
17.01.2021 18:51:34;0;-0,001;-0,00999999999999091;0,0625
17.01.2021 18:51:38;0;0;-0,0299999999999727;0,0625
17.01.2021 18:51:42;0;0;-0,0299999999999727;0,0625
17.01.2021 18:51:46;0;-0,001;-0,0299999999999727;0,0625
17.01.2021 18:51:49;0;0;-0,0299999999999727;0
17.01.2021 18:51:53;0;0;-0,0299999999999727;0
17.01.2021 18:51:57;0;-0,001;-0,0299999999999727;0,0625
17.01.2021 18:52:01;0;0;-0,0299999999999727;0
17.01.2021 18:52:05;0;0;-0,0299999999999727;0
17.01.2021 18:52:09;0;-0,001;-0,0400000000000205;0
17.01.2021 18:52:12;0;0;-0,0400000000000205;0
17.01.2021 18:52:16;0;0;-0,0400000000000205;0
17.01.2021 18:52:20;0;-0,001;-0,0400000000000205;0
17.01.2021 18:52:24;0;0;-0,0400000000000205;0
17.01.2021 18:52:28;0;0,001;-0,0400000000000205;0,0625
17.01.2021 18:52:32;0;-0,001;-0,0400000000000205;0
17.01.2021 18:52:36;0;0;-0,0400000000000205;0
17.01.2021 18:52:39;0;0;-0,0400000000000205;0
17.01.2021 18:52:43;0;0;-0,0500000000000114;0
17.01.2021 18:52:47;0;-0,001;-0,0500000000000114;0
17.01.2021 18:52:51;0;0;-0,0500000000000114;0
17.01.2021 18:52:55;0;0;-0,0500000000000114;0
17.01.2021 18:52:59;0;-0,001;-0,0500000000000114;0
17.01.2021 18:53:02;0;-0,001;-0,0500000000000114;0
17.01.2021 18:53:06;0;0;-0,0500000000000114;0
17.01.2021 18:53:10;0;0;-0,0500000000000114;0
17.01.2021 18:53:14;0;-0,001;-0,0500000000000114;0
17.01.2021 18:53:18;0;0;-0,0500000000000114;0
17.01.2021 18:53:22;0;0;-0,0500000000000114;0
17.01.2021 18:53:26;0;0;-0,0500000000000114;0
17.01.2021 18:53:29;0;-0,001;-0,0500000000000114;0
17.01.2021 18:53:33;0;0;-0,0600000000000023;0
17.01.2021 18:53:37;0;0;-0,0600000000000023;0
17.01.2021 18:53:41;0;0;-0,0600000000000023;0
17.01.2021 18:53:45;0;-0,001;-0,0600000000000023;0
17.01.2021 18:53:49;0;-0,001;-0,0600000000000023;0
17.01.2021 18:53:52;0;0;-0,0600000000000023;0
17.01.2021 18:53:56;0;0;-0,0600000000000023;0
17.01.2021 18:54:00;0;-0,001;-0,0600000000000023;0
17.01.2021 18:54:04;0;-0,001;-0,0600000000000023;0
17.01.2021 18:54:08;0;-0,001;-0,0600000000000023;0
17.01.2021 18:54:12;0;0;-0,0600000000000023;0
17.01.2021 18:54:15;0;0,001;-0,0600000000000023;0
17.01.2021 18:54:19;0;-0,001;-0,0600000000000023;0
17.01.2021 18:54:23;0;-0,001;-0,0600000000000023;0
17.01.2021 18:54:27;0;0;-0,0600000000000023;0
17.01.2021 18:54:31;0;0;-0,0600000000000023;0
17.01.2021 18:54:35;0;0,001;-0,0699999999999932;0
17.01.2021 18:54:39;0;-0,001;-0,0699999999999932;-0,0625
17.01.2021 18:54:42;0;-0,001;-0,0699999999999932;0
17.01.2021 18:54:46;0;-0,001;-0,0699999999999932;0
17.01.2021 18:54:50;0;0;-0,0699999999999932;0
17.01.2021 18:54:54;0;0;-0,0699999999999932;0
17.01.2021 18:54:58;0;0,001;-0,0699999999999932;-0,0625
17.01.2021 18:55:02;0;0;-0,0699999999999932;0
17.01.2021 18:55:05;0;-0,001;-0,0699999999999932;-0,0625
17.01.2021 18:55:09;0;-0,001;-0,0699999999999932;-0,0625
17.01.2021 18:55:13;0;-0,001;-0,0699999999999932;-0,0625
17.01.2021 18:55:17;0;0;-0,0699999999999932;-0,0625
17.01.2021 18:55:21;0;0,001;-0,0699999999999932;-0,0625
17.01.2021 18:55:25;0;0,001;-0,0699999999999932;-0,0625
17.01.2021 18:55:28;0;0;-0,0699999999999932;-0,0625
17.01.2021 18:55:32;0;-0,001;-0,0699999999999932;-0,0625
17.01.2021 18:55:36;0;-0,001;-0,0699999999999932;0
17.01.2021 18:55:40;0;-0,001;-0,0699999999999932;-0,0625
17.01.2021 18:55:44;0;0;-0,0699999999999932;-0,0625
17.01.2021 18:55:48;0;0;-0,0699999999999932;-0,0625
17.01.2021 18:55:52;0;0,001;-0,0799999999999841;-0,0625
17.01.2021 18:55:55;0;0,001;-0,0799999999999841;-0,0625
17.01.2021 18:55:59;0;0;-0,0799999999999841;-0,0625
17.01.2021 18:56:03;0;0;-0,0799999999999841;-0,0625
17.01.2021 18:56:07;0;-0,001;-0,0799999999999841;-0,0625
17.01.2021 18:56:11;0;-0,001;-0,0799999999999841;-0,0625
17.01.2021 18:56:15;0;-0,001;-0,0799999999999841;-0,0625
17.01.2021 18:56:18;0;-0,001;-0,0799999999999841;-0,0625
17.01.2021 18:56:22;0;0;-0,0799999999999841;-0,0625
17.01.2021 18:56:26;0;0;-0,0799999999999841;-0,0625
17.01.2021 18:56:30;0;0,001;-0,0799999999999841;-0,0625
17.01.2021 18:56:34;0;0,001;-0,0799999999999841;-0,0625
17.01.2021 18:56:38;0;0,001;-0,0799999999999841;-0,0625
17.01.2021 18:56:41;0;0;-0,0799999999999841;-0,0625
17.01.2021 18:56:45;0;0;-0,0799999999999841;-0,0625
17.01.2021 18:56:49;0;-0,001;-0,0799999999999841;-0,0625
17.01.2021 18:56:53;0;-0,001;-0,0799999999999841;-0,0625
17.01.2021 18:56:57;0;-0,001;-0,0799999999999841;-0,0625
17.01.2021 18:57:01;0;0;-0,0799999999999841;-0,0625
17.01.2021 18:57:04;0;-0,001;-0,0799999999999841;-0,0625
17.01.2021 18:57:08;0;0;-0,0799999999999841;-0,0625
17.01.2021 18:57:12;0;-0,001;-0,0799999999999841;-0,0625
17.01.2021 18:57:16;0;-0,001;-0,0799999999999841;-0,0625
17.01.2021 18:57:20;0;0;-0,0799999999999841;-0,0625
17.01.2021 18:57:24;0;0;-0,0799999999999841;-0,0625
17.01.2021 18:57:28;0;0,001;-0,0799999999999841;-0,0625
17.01.2021 18:57:31;0;0,001;-0,0799999999999841;-0,0625
17.01.2021 18:57:35;0;0,001;-0,089999999999975;-0,0625
17.01.2021 18:57:39;0;0,001;-0,0799999999999841;-0,0625
17.01.2021 18:57:43;0;0,001;-0,0799999999999841;-0,0625
17.01.2021 18:57:47;0;0;-0,089999999999975;-0,0625
17.01.2021 18:57:51;0;0;-0,0799999999999841;-0,0625
17.01.2021 18:57:54;0;-0,001;-0,089999999999975;-0,0625
17.01.2021 18:57:58;0;-0,001;-0,089999999999975;-0,0625
17.01.2021 18:58:02;0;0;-0,089999999999975;-0,0625
17.01.2021 18:58:06;0;-0,001;-0,089999999999975;-0,0625
17.01.2021 18:58:10;0;-0,001;-0,089999999999975;-0,0625
17.01.2021 18:58:14;0;-0,001;-0,089999999999975;-0,0625
17.01.2021 18:58:18;0;0;-0,089999999999975;-0,0625
17.01.2021 18:58:21;0;0;-0,089999999999975;-0,0625
17.01.2021 18:58:25;0;0;-0,089999999999975;-0,0625
17.01.2021 18:58:29;0;0;-0,089999999999975;-0,0625
17.01.2021 18:58:33;0;0;-0,089999999999975;-0,0625
